Order,PID,MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,price_per_sqft,total_bathrooms,age_at_sale,quality_x_area,SalePrice_log,age_group
410,527453050,160,24.0,-0.9715085519483349,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,TwnhsE,2Story,6,5,1976,1976,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,306.0,Unf,0.0,498.0,804.0,GasA,TA,Y,SBrkr,804,744,0,0.1092944385957906,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Detchd,1976.0,RFn,440.0,TA,TA,Y,108,0,0,0,0,0,0,9,2009,WD ,Normal,146000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1335841.0718404388,2.5,33,0.6557666315747439,11.891368749982083,Old
2755,906382030,20,86.0,0.1344411562154835,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,240.0,Gd,TA,PConc,Gd,TA,Av,GLQ,20.0,Unf,0.0,1594.0,1614.0,GasA,Ex,Y,SBrkr,1614,0,0,0.2401139174971606,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Unknown,Attchd,2005.0,RFn,865.0,TA,TA,Y,144,59,0,0,0,0,0,7,2006,New,Partial,221500.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,922478.8063466552,2.0,1,1.6807974224801243,12.308182383129823,New
2204,909254090,50,55.0,-0.3088332269263389,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Fin,7,8,1918,1998,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,912.0,912.0,GasA,Gd,Y,SBrkr,912,514,0,-0.1325233860400751,0.0,0.0,1,1,3,1,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,216.0,TA,TA,Y,0,240,0,0,0,0,0,6,2007,WD ,Normal,189950.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1433331.9248465248,1.5,89,-0.927663702280526,12.154521423145216,Old
1231,535105030,20,75.0,-0.2798862170406762,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,136.0,TA,TA,CBlock,TA,TA,No,Rec,572.0,Unf,0.0,572.0,1144.0,GasA,Gd,Y,SBrkr,1144,0,0,-0.6914793413459289,1.0,0.0,1,0,3,1,TA,6,Typ,0,Unknown,Attchd,1961.0,Unf,456.0,TA,TA,Y,0,0,0,0,0,0,0,9,2008,WD ,Normal,139950.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-202392.1636293494,1.0,47,-3.4573967067296447,11.849047640327148,Old
1152,532354150,20,75.0,-0.2519330959064525,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1Story,5,8,1961,2007,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,764.0,Unf,0.0,100.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,-1.2464710700184078,1.0,0.0,1,0,3,1,Gd,5,Typ,1,TA,Detchd,1962.0,Unf,420.0,TA,TA,Y,132,0,0,0,0,0,0,7,2008,WD ,Normal,135000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-108305.76276271405,1.0,47,-6.232355350092039,11.81303746480054,Old
1262,535403010,20,78.0,0.006477979467704,Pave,IR1,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,Rec,744.0,Unf,0.0,168.0,912.0,GasA,TA,Y,SBrkr,1044,0,0,-0.8896906730146713,0.0,1.0,1,1,3,1,TA,5,Typ,1,Fa,Attchd,1990.0,Fin,372.0,TA,TA,Y,200,48,0,0,0,0,450,6,2008,WD ,Normal,139000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-156234.0757479289,1.5,40,-4.448453365073356,11.842236406331557,Old
2122,907130060,20,105.0,0.1392863638787489,Pave,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,334.0,BLQ,544.0,322.0,1200.0,GasA,Ex,Y,SBrkr,1200,0,0,-0.5804809956114331,1.0,0.0,2,0,3,1,Gd,6,Typ,0,Unknown,Attchd,1995.0,RFn,521.0,TA,TA,Y,0,26,0,0,0,0,0,8,2007,WD ,Normal,177500.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-305780.8978105053,2.0,12,-3.482885973668598,12.086731521684555,Recent
383,527359180,60,68.0,0.0218832551150095,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,PosN,Norm,1Fam,2Story,5,7,1976,1976,Gable,CompShg,Plywood,Plywood,44.0,TA,Gd,CBlock,TA,TA,No,ALQ,381.0,Unf,0.0,399.0,780.0,GasA,Ex,Y,SBrkr,1088,780,0,0.7435706999357665,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1976.0,Unf,484.0,TA,TA,Y,448,96,0,0,0,0,0,10,2009,WD ,Normal,197500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,265610.2506689156,2.5,33,3.717853499678832,12.193498926601634,Old
2282,923204140,90,100.0,1.8476568915085696,Pave,Reg,Low,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,Av,Unf,0.0,Unf,0.0,1632.0,1632.0,GasA,TA,Y,SBrkr,1632,0,0,0.2757919571975343,0.0,0.0,2,0,4,2,TA,8,Typ,0,Unknown,Attchd,1967.0,Unf,576.0,TA,TA,P,0,0,0,0,0,0,0,6,2007,WD ,Normal,143000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,518506.7811733796,2.0,40,1.3789597859876714,11.870606902224589,Old
2135,907200130,20,97.0,0.2077404516341144,Pave,IR1,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1974,1974,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,BLQ,663.0,Unf,0.0,201.0,864.0,GasA,TA,Y,SBrkr,894,0,0,-1.187007670517785,0.0,0.0,1,0,3,1,TA,5,Typ,0,Unknown,Attchd,1974.0,Unf,440.0,TA,TA,Y,0,0,0,0,0,0,0,8,2007,WD ,Family,131000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-110361.54462494454,1.0,33,-5.935038352588925,11.78296023574194,Old
1303,902205070,20,62.0,-0.3499553740171302,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,2,5,1946,1950,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,407.0,407.0,GasA,TA,N,FuseA,407,0,0,-2.1522968557445608,0.0,0.0,1,0,1,1,TA,3,Typ,0,Unknown,Detchd,1949.0,Unf,297.0,Fa,TA,Y,76,0,120,0,0,0,0,3,2008,WD ,Abnorml,46500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-21604.82643269666,1.0,62,-4.3045937114891215,10.747229096720554,Old
1375,904101170,50,80.0,0.8686764713410918,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,0.0,TA,TA,CBlock,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1120,468,0,0.1885789712632876,0.0,0.0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,1991.0,Fin,680.0,TA,TA,N,0,59,0,0,0,0,0,7,2008,WD ,Normal,134432.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,712868.4555835791,2.0,49,0.7543158850531505,11.808821212646512,Old
553,531477020,20,60.0,-0.2146622677274876,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,721.0,721.0,GasA,Gd,Y,SBrkr,841,0,0,-1.2920596763022183,0.0,0.0,1,0,2,1,TA,4,Typ,0,Unknown,CarPort,1950.0,Unf,294.0,TA,TA,N,250,0,24,0,0,0,0,9,2009,WD ,Normal,82000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-63464.56088984843,1.0,59,-5.168238705208874,11.31448672129398,Old
223,905105200,20,65.0,-0.2892039240854174,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1966,2008,Hip,CompShg,HdBoard,HdBoard,47.0,TA,TA,CBlock,TA,TA,Mn,BLQ,240.0,Rec,474.0,150.0,864.0,GasA,Ex,Y,SBrkr,892,0,0,-1.1909718971511598,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Unknown,Detchd,1966.0,Unf,416.0,TA,TA,Y,0,0,0,0,0,0,0,6,2010,WD ,Normal,137900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-115787.78670584998,1.0,44,-5.954859485755799,11.834291315386718,Old
1097,528292060,60,41.0,0.2897362736278372,Pave,IR1,Lvl,AllPub,FR2,Gtl,RRAn,Norm,1Fam,2Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,870.0,Unf,0.0,167.0,1037.0,GasA,Ex,Y,SBrkr,1037,1285,0,1.643450145711857,0.0,0.0,2,1,4,1,TA,8,Typ,1,TA,BuiltIn,1999.0,Fin,400.0,TA,TA,Y,144,44,0,0,0,0,0,5,2008,WD ,Normal,225000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,136907.1039891762,2.5,9,11.504151019983002,12.323860125621126,New
2537,534201300,85,70.0,-0.2146622677274876,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,SFoyer,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,744.0,Unf,0.0,89.0,833.0,GasA,Gd,Y,SBrkr,898,0,0,-1.1790792172510354,1.0,0.0,1,0,3,1,TA,6,Typ,0,Unknown,Attchd,1968.0,RFn,326.0,TA,TA,Y,143,0,0,0,0,0,0,8,2006,WD ,Normal,140000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-118736.72095281525,1.0,38,-5.895396086255177,11.849404844423074,Old
9,527146030,120,39.0,-0.5887371465503652,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,Ex,Y,SBrkr,1616,0,0,0.2440781441305355,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,608.0,TA,TA,Y,237,152,0,0,0,0,0,3,2010,WD ,Normal,236500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,968951.975780008,2.0,15,1.952625153044284,12.373707715234994,Recent
1392,905201120,20,68.0,0.3921068150260607,Pave,Reg,Lvl,AllPub,Inside,Gtl,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,1064.0,Unf,0.0,319.0,1383.0,GasA,TA,Y,SBrkr,1383,0,0,-0.2177542586576344,1.0,0.0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1954.0,Unf,354.0,TA,TA,Y,511,116,0,0,0,0,0,6,2008,WD ,Normal,165000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-757734.8935316226,1.0,54,-1.088771293288172,12.013706813470414,Old
317,916386020,20,73.0,-0.0403590279438618,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1214.0,1214.0,GasA,Ex,Y,SBrkr,1214,0,0,-0.5527314091778092,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Unknown,Attchd,2010.0,RFn,520.0,TA,TA,Y,0,25,0,0,0,0,0,1,2010,New,Partial,179781.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-325259.243485774,2.0,1,-3.869119864244664,12.099500284773487,New
428,528108040,60,95.0,0.2760703032955501,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,986.0,Unf,0.0,379.0,1365.0,GasA,Ex,Y,SBrkr,1365,1325,0,2.372867846252829,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2009.0,RFn,864.0,TA,TA,Y,0,197,0,0,0,0,0,7,2009,New,Partial,398800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,168066.67115059716,2.5,0,21.355810616275463,12.896217824589243,
1991,902300040,70,53.0,-0.0329048623080688,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,6,1927,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,196.0,Rec,210.0,322.0,728.0,GasA,TA,Y,SBrkr,914,728,0,0.2956130903644085,0.0,1.0,1,1,4,1,TA,9,Typ,1,Gd,Detchd,1927.0,Unf,374.0,TA,TA,Y,0,0,0,0,0,0,0,3,2007,WD ,Abnorml,145000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,490506.01859767246,1.5,80,1.7736785421864512,11.884495917930655,Old
106,533244030,60,68.0,-0.3415073196298981,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,0.0,491.0,975.0,GasA,Ex,Y,SBrkr,975,873,0,0.703928433602018,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000.0,RFn,592.0,TA,TA,Y,280,184,0,0,0,0,0,4,2010,WD ,Normal,254000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,360832.1355912222,2.5,10,5.631427468816144,12.445093483000798,New
1678,527450220,160,21.0,-1.0025675754308054,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,265.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,546,0,-0.5448029559110594,0.0,0.0,1,1,4,1,Ex,7,Typ,0,Unknown,Detchd,1973.0,Unf,264.0,TA,TA,Y,0,28,0,0,0,0,0,12,2007,WD ,Normal,113700.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-208699.3081927438,1.5,34,-3.268817735466357,11.641327474774709,Old
2020,903233180,50,52.0,-0.4830122306160349,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,6,1931,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,Fa,No,LwQ,425.0,Unf,0.0,459.0,884.0,GasA,TA,Y,FuseA,959,408,0,-0.2494680717246332,0.0,0.0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1978.0,Unf,560.0,TA,TA,Y,0,0,0,0,120,0,0,11,2007,WD ,Normal,127500.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-511087.4474579517,1.0,76,-1.496808430347799,11.755879486687116,Old
122,534401140,20,88.0,-0.0556400674972374,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,Wd Sdng,Plywood,268.0,TA,TA,CBlock,TA,TA,No,BLQ,1010.0,Unf,0.0,500.0,1510.0,GasA,Ex,Y,SBrkr,1510,0,0,0.0339741325616685,1.0,0.0,2,0,3,1,Gd,6,Typ,0,Unknown,Attchd,1967.0,RFn,517.0,TA,TA,Y,0,40,0,0,204,0,0,4,2010,WD ,Normal,178900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5265770.94132625,2.0,43,0.1698706628083425,12.094587859196112,Old
2315,527107120,60,54.0,-0.0428437498224595,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,821.0,821.0,GasA,Gd,Y,SBrkr,821,955,0,0.5612162748005235,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1996.0,Fin,443.0,TA,TA,Y,286,116,0,0,0,0,0,5,2006,WD ,Normal,202000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,359932.5412859741,2.5,10,3.3672976488031408,12.216027926866138,New
2800,907285100,60,90.0,0.1394105999726788,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,Gd,PConc,Gd,Gd,Av,GLQ,685.0,Unf,0.0,245.0,930.0,GasA,Ex,Y,SBrkr,950,1045,0,0.9952990911550694,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1995.0,RFn,610.0,TA,TA,Y,275,170,0,0,0,0,0,7,2006,WD ,Normal,237000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,238119.3774877817,2.5,11,6.967093638085486,12.37581963951765,Recent
1792,528445020,60,70.0,-0.0649577745419786,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,982.0,982.0,GasA,Ex,Y,SBrkr,982,995,0,0.9596210514546958,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Unknown,Attchd,2006.0,RFn,574.0,TA,TA,Y,240,53,0,0,0,0,0,7,2007,WD ,Family,250000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,260519.5036322133,2.5,1,6.71734736018287,12.429220196836384,New
2539,534202180,80,80.0,-0.065578955011628,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,5,7,1967,1967,Gable,CompShg,MetalSd,MetalSd,140.0,TA,TA,PConc,TA,TA,Av,ALQ,602.0,Rec,402.0,137.0,1141.0,GasA,Gd,Y,SBrkr,1141,0,0,-0.6974256812959911,1.0,0.0,1,0,3,1,TA,6,Typ,0,Unknown,Attchd,1967.0,Unf,568.0,TA,TA,Y,0,78,0,0,0,0,0,7,2006,WD ,Normal,158000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-226547.4361460228,1.0,39,-3.487128406479956,11.970356641103,Old
1287,902103150,50,57.0,-0.1172611700864594,Pave,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,5,7,1948,2005,Gable,CompShg,WdShing,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,Ex,Y,SBrkr,948,375,0,-0.3366810576588799,0.0,0.0,1,0,3,1,TA,6,Typ,0,Unknown,Detchd,1948.0,Unf,400.0,TA,TA,Y,0,0,0,0,0,0,0,7,2008,WD ,Normal,122600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-364142.8503655719,1.0,60,-1.6834052882943995,11.716690459057835,Old
116,534176060,20,78.0,-0.0953956175548,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,7,1972,2006,Hip,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,982.0,Unf,0.0,179.0,1161.0,GasA,TA,Y,SBrkr,1381,0,0,-0.2217184852910092,1.0,0.0,1,1,3,1,Gd,5,Typ,1,TA,Attchd,1972.0,RFn,676.0,TA,TA,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,197500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-890769.2100673424,1.5,38,-1.3303109117460556,12.193498926601634,Old
1323,902405070,70,60.0,0.0835043577042314,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,7,1890,1999,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,Mn,Unf,0.0,Unf,0.0,1313.0,1313.0,GasW,Gd,Y,SBrkr,1313,1182,0,1.9863557494987816,0.0,0.0,2,0,5,1,TA,10,Typ,1,Gd,Detchd,1950.0,Unf,342.0,TA,Fa,Y,0,299,0,0,0,0,0,12,2008,WD ,Normal,184000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,92631.94674288773,2.0,118,13.904490246491472,12.122696471358964,
2476,531376030,60,65.0,-0.2892039240854174,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,172.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,891.0,891.0,GasA,Ex,Y,SBrkr,891,795,0,0.3828260762986552,0.0,0.0,2,1,3,1,Gd,8,Typ,0,Unknown,Attchd,2005.0,Fin,462.0,TA,TA,Y,144,101,0,0,0,0,0,4,2006,WD ,Normal,184000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,480636.0156523286,2.5,1,2.6797825340905868,12.122696471358964,New
2091,906201022,20,114.0,0.0284677680932933,Pave,IR1,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,7,5,1990,1991,Hip,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,738.0,Unf,0.0,172.0,910.0,GasA,Gd,Y,SBrkr,1442,0,0,-0.1008095729730763,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1990.0,Fin,719.0,TA,TA,Y,0,244,0,0,0,0,0,5,2007,WD ,Normal,179900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,-1784552.7432999508,2.0,17,-0.7056670108115345,12.100161978566868,Recent
